a,b,p,корень
0,1,0,0
-1,2,0.0666667,-0.056104
-1,2,0.133333,-0.0957805
-1,2,0.2,-0.125597
-1,2,0.266667,-0.148857
-1,2,0.333333,-0.167499
-1,2,0.4,-0.182763
-1,2,0.466667,-0.195483
-1,2,0.533333,-0.206241
-1,2,0.6,-0.215455
-1,2,0.666667,-0.223433
-1,2,0.733333,-0.230407
-1,2,0.8,-0.236554
-1,2,0.866667,-0.242012
-1,2,0.933333,-0.24689
-1,2,1,-0.251276
-1,2,1.06667,-0.25524
-1,2,1.13333,-0.25884
-1,2,1.2,-0.262124
-1,2,1.26667,-0.265132
-1,2,1.33333,-0.267897
-1,2,1.4,-0.270446
-1,2,1.46667,-0.272805
-1,2,1.53333,-0.274994
-1,2,1.6,-0.277031
-1,2,1.66667,-0.27893
-1,2,1.73333,-0.280706
-1,2,1.8,-0.28237
-1,2,1.86667,-0.283932
-1,2,1.93333,-0.285401
-1,2,2,-0.286785
